role,age,gender,school_location,district,frequency_of_technology_use,perception_of_tech_support,benefits_of_technology,challenges_and_limitations,personalized_feedback_enhancement,student_resistance_to_technology,change_in_learning_and_engagement,motivation_to_learn,impact_on_social_skills_and_relationships,adequacy_for_students_with_disabilities,observed_changes_in_learning,support_for_essential_skills_development,promotion_of_independence_and_self_learning,increase_in_academic_performance,improvement_in_engagement_and_learning,challenges_in_digital_literacy,additional_technology_or_resources_needed,future_directions_and_possibilities,perceived_enhancement_of_learning,negative_effects_of_screen_time,positive_changes_in_collaboration_and_teamwork,decrease_in_traditional_teaching_methods,need_for_additional_teacher_training,perception_of_tech_support_semtiment,challenges_and_limitations_semtiment,change_in_learning_and_engagement_semtiment,impact_on_social_skills_and_relationships_semtiment,support_for_essential_skills_development_semtiment
Teacher,45,Female,Rural ,Nagar ,rarely,"Yes technology plays vital role in support the fulfillment of students primary objectives 
","Helps in motivating and clear concept 
","Internet access issue 
",Yes,Yes,"Technology changed the way of learning and understanding 
",No,"Technology helped me in connect myself with friends sitting in One place 
",No,Yes,"Students takes ideals in their interest through technology 
",Yes,No,Yes,No,"Internet access and building 
","Students have to read lots of books instead of technology 
",moderately,Yes,No,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,38,Female,Aliabad,Hunza,several times a week,Students take more interest in learning when we use technology.,"Benefits of technology in primary school,socialization, improving communication, digital literacy skills.","Technical issues distruction , reduce face to face interaction.",Yes,No,We attent online classess on mobiles.,No,We learn new words from vedioes.,No,Yes,"Interactive educational apps,online cources, educational games to engage students.",Yes,No,Yes,No,"Improve collaboration prepare childern for the future, connect us with student.","Fast networks,3D printing.",extremely,No,Yes,Yes,Yes,Negative,Negative,Positive,Positive,Positive
Teacher,34,Female,Nilt nagar,Nagar,several times a week,student can use interactive games to reinforce reading skills,enhance critical thinking,internet access information,No,No,variety of ideas and activities generates,Yes,,Yes,No,,Yes,Yes,Yes,Yes,,,extremely,Yes,Yes,Yes,No,Positive,Positive,Positive,Positive,Positive
Teacher,40,Female,Nagar Khas,Nagar,rarely,technology can gives experiences and enhance ones knowledge,in this era its most important element ,,Yes,Yes,saveral ways technology has change,Yes,technology has changed our social skill partices,Yes,No,technology needs us to develop critical thinking,Yes,No,Yes,Yes,"projector, excel,are used",technology should used in primary education,very,Yes,Yes,No,Yes,Positive,Negative,Positive,Positive,Negative
Teacher,27,Female,Aliabad,Hunza,weekly,,,,Yes,Yes,"Technology change the way of learning we get help from technology to enhance our skill ,we take online classes and also online business.",Yes,Technology impact on our social skill we cant work on our skills it is also wastege of time and there is also gap between family members.,Yes,Yes,,Yes,Yes,Yes,No,,,extremely,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Negative,Positive
Teacher,29,Male,Rural ,Nagar,several times a week,"By using technology we can easily convey our messages to students 

","We can connect the students with world 
",Financial crises ,No,No,"Engaging the students in Lab to perform activities related to their content 
",Yes,"we can improve our social skills and relationships through the technology 
",No,Yes,NO,Yes,Yes,Yes,No,Projector ,No idea,slightly,No,No,Yes,Yes,Positive,Negative,Positive,Positive,Negative
Student,16,Female,Ghulmet nagar,Nagar,weekly,technology is best source of students work,easy to learn,become mental illness,Yes,Yes,several ways technology was changed,Yes,gap between family and work,Yes,Yes,can use technology to solve problems,Yes,Yes,Yes,Yes,"excel, multimedia and reality tools",should use in primary education,extremely,Yes,Yes,No,Yes,Positive,Negative,Positive,Negative,Positive
Teacher,38,Female,Aliabad,Hunza,several times a week,Students take more interest in learning when we use technology.,"Benefits of technology in primary school,socialization, improving communication, digital literacy skills.","Technical issues distruction , reduce face to face interaction.",Yes,No,We attent online classess on mobiles.,No,We learn new words from vedioes.,No,Yes,"Interactive educational apps,online cources, educational games to engage students.",Yes,No,Yes,No,"Improve collaboration prepare childern for the future, connect us with student.","Fast networks,3D printing.",extremely,No,Yes,Yes,Yes,Negative,Negative,Positive,Positive,Positive
Teacher,30,Female,Karimabad,Hunza,weekly,,"Technology is very benefishery for pirmary beacues it reflect""learning by doing"". Time usage and easy way of learning",I can cause eye diseaes. Students work is slow. Student do not want to do their own work.,No,No,technology has change the way of learn and engage with curriculum content. Do not think and conginative domain are stop working,Yes,Technology disconnect the social skill and relationship.like mobile consumes more more time and the person do not like to eat and talk to second person.,No,Yes,Teach and aware all the skill first and than provide the resources all the above skills.,No,No,No,Yes,"individual laptops, internet service and LED for classroom",Totally lecture or classroom activities will finish and will teach online system and use online resources,moderately,Yes,Yes,No,Yes,Positive,Negative,Negative,Negative,Positive
Teacher,30,Female,Karimabad,Hunza,weekly,,"Technology is very benefishery for pirmary beacues it reflect""learning by doing"". Time usage and easy way of learning",I can cause eye diseaes. Students work is slow. Student do not want to do their own work.,No,No,technology has change the way of learn and engage with curriculum content. Do not think and conginative domain are stop working,Yes,Technology disconnect the social skill and relationship.like mobile consumes more more time and the person do not like to eat and talk to second person.,No,Yes,Teach and aware all the skill first and than provide the resources all the above skills.,No,No,No,Yes,"individual laptops, internet service and LED for classroom",Totally lecture or classroom activities will finish and will teach online system and use online resources,moderately,Yes,Yes,No,Yes,Positive,Negative,Negative,Negative,Positive
Teacher,29,Female,Karimabad,Hunza,several times a week,They can learn new staff.,Listening skill and speaking skill.,Due to weak signls we rae facing challenges.,Yes,No,We easy convey message through technology.,Yes,We are always in connect with the good relation.,Yes,Yes,When they watched educational vedioes.,No,Yes,Yes,No,LEDs in every class with internet .,"LED,computer ,electricity and digital classes.",very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Negative
Teacher,33,Female,Aliabad,Hunza,weekly,Technology hepls kids better by giving them fun and interactive tools that match what they are studying in school.,"The most improtant benefits of using technology in primary education are making learning fun, helps kids understand better and preparing them for future witth digital skills.",using too much technology can distract kids not all school have enough devices and some kids might struggle with using teach for learning .,Yes,No,While using technolgy it helps enchance their motivation toward learning. It make lecture easier to understand .,No,Too much tech can make us less caring and understanding .,Yes,Yes,"Technology can helps kids think creativly by using eductional apps and games, solving problem with interactive tools and techning them think critically by researching online and anaylzing information .",Yes,No,Yes,No,Interactive whiteboard and eductional apps can enchance classroom learning. ,"In the future technology will continue to innovate and peronalize learning experience foe pirmary students, making education more interactive and engaging .",very,No,No,No,Yes,Positive,Negative,Positive,Negative,Positive
Teacher,26,Female,Rural,Nagar,rarely,"We get many informative things from technology 
","We get information from technology which could be not present in content 
","Language, internet access, WiFi and teacher training 
",No,No,"Learning easily pick by students and we also use different teaching methods 
",Yes,"Negative impacts of technology on us and disturbs our mutual understanding 
",No,Yes,"Technology built self independent character in students 
",No,Yes,Yes,No,"WiFi, internet access, electricity and Library 
","In primary section their should be proper usage of technology and computers 
",not at all,Yes,No,Yes,Yes,Positive,Positive,Positive,Negative,Positive
Student,21,Female,Rural ,Nagar ,several times a week,"Technology fulfills all the leaning objectives of the students 

",Motivation for learning ,"WiFi, electricity, internet access and building 
",Yes,No,"With technology teachers can use multiple methods of teaching 
",Yes,"With usage of technology I have             
made lots of friends and relationships
",Yes,Yes,"The students can easily use the educating softwares for the nurishment of their skills 
",Yes,Yes,Yes,No,"WiFi, electricity and internet access 
","Teachers will have less opportunity for jobs in schools i guess 
",very,Yes,Yes,Yes,Yes,Positive,Positive,Positive,Positive,Negative
Teacher,25,Female,Nagar Khas,Nagar,several times a week,It helps to teachers to teach and helps to students easly understand topic,It increases students interest in learning,Excessive use of technology may lead far from activities,Yes,Yes,,Yes,communication skills and confidence and encourage the students to work together,Yes,Yes,by inovating techniques of teaching,Yes,Yes,Yes,Yes,Internet facilities and use of melti media,,not at all,Yes,No,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,40,Female,Karimabad,Hunza,several times a week,,"It reduces both time and cost of teachers and more fun,interesting in primary education.","It can lead to distraction such as social media,online gaming,technical issues and budgets issues.",No,No,"It enables new way of learning ,communicating and working collaboratively.",No,"Non-verbal cues,such as body language facial expression and tone of voice are lost due to technology.",Yes,Yes,It helps in improve efficiency and reduce costs of production.,Yes,Yes,Yes,No,"E-books,smart board game learning and digital pads.",Development in new media and computing technologies in education.,moderately,Yes,No,Yes,No,Positive,Negative,Positive,Negative,Positive
Teacher,47,Female,Aliabad,Hunza,weekly,"With the help of technology,learners can access a wealth of information and resources related to demond such as,new vedioes and interactive tools.","Quick information exchange,developing basic skills encouraging love for learning.","Hardware issues, software issuse, internet can interrupt learning.",Yes,Yes,"Enabled more effective communcation, collaboration and shavring of learning material among students through tools.",Yes,"Technology is used in every field of our life like reading, writing, learning, it also inchance our social skills. Technology done our works in a seconds. Now a days technology is mostly used in online marketing.",Yes,Yes,,Yes,Yes,Yes,Yes,Different outdoor activities related to students.,Technology In primary education are very important.,moderately,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,30,Female,Nagar Khas,Nagar,several times a week,,,,Yes,No,,Yes,social gap between family and work,No,Yes,it helps the student and it will five ideas and road maps,Yes,Yes,Yes,Yes,yes because a child enjoy and learn new things from vedios,in future the child learn from technology and no any concept of teacher,extremely,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Negative,Positive
Teacher,31,Male,Nagar Khas,Nagar,several times a week,it enhance the listening skill and thinking,it enhance memorization,"internet access , inflation, and maintainance",Yes,No,,Yes,enhance learning capacity,Yes,Yes,"through stories, sktches, and pictorials",Yes,Yes,Yes,Yes,offline vedios,technology shall replace teachers in future,very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Negative
Teacher,43,Male,Aliabad,Hunza,daily,,,,Yes,No,By using technology it is easy to learn more about curriculum.,Yes,The impact of technology on social skill is that decrease of life style it create a gap between the relative one.,Yes,Yes,,Yes,No,No,Yes,,,very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,30,Female,Karimabad,Hunza,weekly,,It give intensive knowledge it can be maximized by using technology most frequently.,I thing it weaker thinking power and visual.,Yes,No,I got updated knowledge and information.,Yes,,Yes,Yes,using such apps or programm which enhance skills neither waste time on games.,Yes,Yes,Yes,Yes,AV Aids and practical things.,In near future in primary education technology is very cruical to meet the needs of modern era.,very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,29,Female,Karimabad,Hunza,several times a week,They can learn new staff.,Listening skill and speaking skill.,Due to weak signls we rae facing challenges.,Yes,No,We easy convey message through technology.,Yes,We are always in connect with the good relation.,Yes,Yes,When they watched educational vedioes.,No,Yes,Yes,No,LEDs in every class with internet .,"LED,computer ,electricity and digital classes.",very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Negative
Teacher,40,Female,Nagar Khas,Nagar,daily,,trained teachers related to IT is essentail in primary education,miss  use  of  technology is one of main challengies ,Yes,Yes,before we were depend on teacher but now we are depend on technology,Yes,"sometimes technology creates  social isolation, another problem is he or she adopated other culture",Yes,Yes,use learning Apps and band remaing unwanted applications to develop skill,Yes,Yes,No,Yes,Multimedia and computer and proper internet connection will  benefical,with the change of time technology should be improved,moderately,Yes,No,No,Yes,Positive,Negative,Positive,Negative,Negative
Teacher,31,Female,Karimabad,Hunza,weekly,,Lesson become more easier for students.,"Issue of power, lenhghty courses and content based examination system.",Yes,No,Technology have many change in our world e.g robots can work the human place.,Yes,Robots can alone on human place.it can ipact on our social skill.robots can perform individual task.,Yes,Yes,"Quizes avaible according to their lesson,activities design programm enhance critical thinking,creativity and problem solving.",Yes,Yes,Yes,Yes,"Learning management system ,google classroom.","As AI is replacing every profession  with passage of time,reducing theoritical and traditional approach enhance digital litracy like robotics at the primary level.",very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,31,Female,Nagar Khas,Nagar,weekly,E learning provide high support to obtain educational goals,easy to learn,,Yes,Yes,techonology make faster than contnt learning,Yes,impect of technology in social skill and relationship create distance and some where its possisive,No,Yes,we can use technology to enhance learning,Yes,Yes,Yes,Yes,"projector, multimadia",technology will play fundemental role in primary education,very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,34,Female,Nilt nagar,Nagar,several times a week,student can use interactive games to reinforce reading skills,enhance critical thinking,internet access information,No,No,variety of ideas and activities generates,Yes,,Yes,No,,Yes,Yes,Yes,Yes,,,extremely,Yes,Yes,Yes,No,Positive,Positive,Positive,Positive,Positive
Teacher,28,Male,Karimabad,Hunza,weekly,,benefits of using technology creat interst for lastest education. ,"Less internet access in our area, old IT technology ues in our country.",Yes,Yes,With the help enhacement curriculum and content and lesson plan,Yes,Social skill increase due to use more technology in our daily life. Give less time for social skills.,Yes,Yes,Researching lastest update curriculium slove technical problem solving to enhance critical thinking in student.,Yes,Yes,Yes,Yes,apply for pratcial life using lastest technology inchancment in technology ,Awarness technology from root level from pirmary education.,moderately,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Negative
Teacher,29,Male,Near Nagar chowk,Nagar,several times a week,Technology plays vital role in primary education ,"Learning easily through graphics 
","Students face difficulty in managing technology 
",No,No,"Totally depends on technology 
",Yes,"We can get information from communication 
",No,Yes,"Providence of proper IT tools and trainings
",Yes,Yes,No,No,"Proper computer Lab, Multimedia,and internet connection 
","Technology should improve in school
",very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Negative,Positive
Teacher,31,Male,Nagar Khas,Nagar,several times a week,"yes, Technology can best support the learning objective of primary students in this era of modern technology, without technology studennts cannot face daily life challenges",students become aware about technology at early stage,Government policies and financial challengies are hurdle for primary level,Yes,No,we can learn many things at school level,Yes,I am using technology for Freelancing and other skills.,Yes,Yes,Students try and apply whatever they learn at school,Yes,Yes,Yes,Yes,Improvement and advancement of technology,applying modern techniques,slightly,Yes,Yes,No,Yes,Negative,Negative,Positive,Positive,Negative
Teacher,28,Female,Rural ,Nagar ,several times a week,"Visual poems and many other educational programs 
","Technology using increase understandings
",Medical issues ,No,No,"Technology helps me in better understanding of the content 
",Yes,"Negative impacts on social relationships
",Yes,Yes,"Self based learning improves creativity 
",Yes,No,Yes,No,"Power point lectures and visual aids related to the content 
",,very,Yes,Yes,No,No,Positive,Negative,Positive,Negative,Positive
Teacher,40,Female,Nilt nagar,Nagar,several times a week,obviously technology is a best way of learning ,,,Yes,No,,Yes,,No,No,multimedia learning enviornment enable student to apply knowledge in real world contents,Yes,Yes,Yes,Yes,"internet, LEDs",it will be good in future and technology will be enhanced,moderately,Yes,Yes,No,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,30,Male,Nilt nagar,Nagar,several times a week,technology provides students to a vast amount of information and resources ,"develop basic skills, collection of information, create socialization","economic, ethical, lake of usage of resources",Yes,Yes,provide online resources,Yes,no,No,Yes,support the student and create critical thinking,Yes,Yes,Yes,Yes,"projector, sound desks, recorder",student can collaborate on group projects using technology,moderately,Yes,Yes,Yes,Yes,Positive,Positive,Positive,Negative,Positive
Teacher,30,Female,Karimabad,Hunza,weekly,,"Technology is very benefishery for pirmary beacues it reflect""learning by doing"". Time usage and easy way of learning",I can cause eye diseaes. Students work is slow. Student do not want to do their own work.,No,No,technology has change the way of learn and engage with curriculum content. Do not think and conginative domain are stop working,Yes,Technology disconnect the social skill and relationship.like mobile consumes more more time and the person do not like to eat and talk to second person.,No,Yes,Teach and aware all the skill first and than provide the resources all the above skills.,No,No,No,Yes,"individual laptops, internet service and LED for classroom",Totally lecture or classroom activities will finish and will teach online system and use online resources,moderately,Yes,Yes,No,Yes,Positive,Negative,Negative,Negative,Positive
Teacher,20,Female,Nagar Khas,Nagar,monthly,with the help of technology we can easily solve our problem. It boost up learning skills of syudent,enhance critical thinking,,Yes,Yes,in technology many techniques are used which boost our thinking,Yes,"it enhance reading, writing and critical thinking and brain storming ",Yes,Yes,,Yes,Yes,Yes,No,multimedia is most important,,slightly,No,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,29,Male,Near Nagar chowk,Nagar,several times a week,Technology plays vital role in primary education ,"Learning easily through graphics 
","Students face difficulty in managing technology 
",No,No,"Totally depends on technology 
",Yes,"We can get information from communication 
",No,Yes,"Providence of proper IT tools and trainings
",Yes,Yes,No,No,"Proper computer Lab, Multimedia,and internet connection 
","Technology should improve in school
",very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Negative,Positive
Teacher,28,Female,Rural ,Nagar ,daily,"Learning objectives achieved by technological usage 
","Better improvement in students learning 
","Electricity and internet issues 
",No,No,Yes at wide range ,Yes,Positive and negative impacts both ,No,Yes,"providing suitable internet access 
",No,Yes,No,No,"Usage of technology and other resources for teachers development  of lectures 

","Technology should be used in primary section 
",slightly,Yes,Yes,No,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,35,Male,Nagar Khas,Nagar,weekly,,It increases students interest in learning,Excessive use of technology may lead far from activities,Yes,Yes,,Yes,,No,Yes,It increases students focus through graphic contents ,No,Yes,Yes,Yes,Internet facilities and use of melti media in class,every class should be equip with new  technology,slightly,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,45,Female,Nagar Khas,Nagar,monthly,technology helps students and and give new ideas about learning,easy to learn,,Yes,Yes,because of different and easy path,Yes,echnology change learning skills as well,Yes,Yes,because of technology,Yes,Yes,Yes,Yes,internet,technology is very important in primary education,very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,30,Female,Aliabad,Hunza,several times a week,The use of technology during whole class interaction can foster. Students can use spelling phonetic and reading skill.,"Students develop crucial skills such as digital literacy, critcal thinking creativity.",Technology in education can reduce face to face social interaction student might also miss developing imporant communication and team works skills.,Yes,No,Student can collabrate on group project using technology based tools use interactive displays to do fun games and with there larning materials .,Yes,The technology impact on our social skill its also impact on ours studys and online works it also impact on skills and relationship.,Yes,Yes,"To improve your crtical thiking, you need to be able to filter verity and synthesize the information you take online .",Yes,Yes,Yes,No,Prepare student for the future we connect with student any time .,Student can practice desnging prolem solving. ,very,Yes,Yes,No,Yes,Positive,Negative,Negative,Positive,Negative
Teacher,31,Female,Aliabad,Hunza,several times a week,,,,Yes,No,,Yes,,No,Yes,,Yes,Yes,Yes,Yes,,,slightly,Yes,No,No,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,33,Female,Aliabad,Hunza,weekly,Technology hepls kids better by giving them fun and interactive tools that match what they are studying in school.,"The most improtant benefits of using technology in primary education are making learning fun, helps kids understand better and preparing them for future witth digital skills.",using too much technology can distract kids not all school have enough devices and some kids might struggle with using teach for learning .,Yes,No,While using technolgy it helps enchance their motivation toward learning. It make lecture easier to understand .,No,Too much tech can make us less caring and understanding .,Yes,Yes,"Technology can helps kids think creativly by using eductional apps and games, solving problem with interactive tools and techning them think critically by researching online and anaylzing information .",Yes,No,Yes,No,Interactive whiteboard and eductional apps can enchance classroom learning. ,"In the future technology will continue to innovate and peronalize learning experience foe pirmary students, making education more interactive and engaging .",very,No,No,No,Yes,Positive,Negative,Positive,Negative,Positive
Parent,44,Male,Nilt nagar,Nagar,several times a week,technology can best for the primary students provide information,,,No,No,no,No,,Yes,Yes,technology motivates students by creative things such as gaming and cartoons,No,Yes,No,Yes,"computer, interactive whiteboard, educational software",,moderately,Yes,Yes,Yes,Yes,Positive,Negative,Negative,Positive,Positive
Teacher,40,Female,Aliabad,Hunza,several times a week,,,Shortage of electcity stortage of IT professional and finnancial weekness.,Yes,No,"Save time, maximum avalibity of content .",Yes,Awarenss,No,Yes,,Yes,Yes,Yes,Yes,,,very,Yes,No,Yes,Yes,Positive,Negative,Negative,Positive,Positive
Student,21,Female,Rural ,Nagar ,several times a week,"Technology fulfills all the leaning objectives of the students 

",Motivation for learning ,"WiFi, electricity, internet access and building 
",Yes,No,"With technology teachers can use multiple methods of teaching 
",Yes,"With usage of technology I have             
made lots of friends and relationships
",Yes,Yes,"The students can easily use the educating softwares for the nurishment of their skills 
",Yes,Yes,Yes,No,"WiFi, electricity and internet access 
","Teachers will have less opportunity for jobs in schools i guess 
",very,Yes,Yes,Yes,Yes,Positive,Positive,Positive,Positive,Negative
Teacher,30,Female,Karimabad,Hunza,weekly,,Technology is very benifical in pirmary education because it clear the cocepts. ,,Yes,Yes,The technology the way of my learning with the helps of computer and laptops etc. in curriculum with the help of content with engage it.,Yes,In my social skills good with the hepls of computer. We work on computer and gain knowledge ,Yes,Yes,"technology create critical thinking, creativity and problem solving in pirmary student",Yes,Yes,Yes,No,I think that online learning or use of internet is useful in class.,,very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,37,Male,Aliabad,Hunza,weekly, NA,Use variety of technology tools and resources.,Limitation:balancing technology   challenges:engage community and parents.,Yes,No,Tecnology changes us because now adays we use it and get many information.,No,Technology impact on our social skill.,Yes,Yes,,Yes,Yes,Yes,No,Tablets and educatinal software.,AI and internet,very,Yes,No,Yes,Yes,Negative,Positive,Positive,Positive,Positive
Parent,26,Male,Nilt nagar,Nagar,several times a week,"personalized learning, adaptive software, and apps can tailor instruction to individual students needs abilities and learning styles",enhance critical thinking,internet access ,No,No,,Yes,Its becoming a part of oyr life day by day,No,Yes,"the development of essential skills; puzzles, brain teaser, and games",Yes,Yes,Yes,Yes,"virtual and augmented reality tools, mental health and wellness resources ",looks bright with possibilities including accessible and inclusive technology for diverse learners,very,Yes,Yes,Yes,Yes,Positive,Positive,Positive,Positive,Positive
Teacher,30,Female,Aliabad,Hunza,weekly,,,,Yes,No,Technology play a vital role in our life we learn so many thing from all over the world.,Yes,"Online business, online games and connect with our family and friends by using mobile phones.",Yes,Yes,,Yes,Yes,Yes,Yes,,,extremely,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Parent,44,Male,Nilt nagar,Nagar,several times a week,technology can best for the primary students provide information,,,No,No,no,No,,Yes,Yes,technology motivates students by creative things such as gaming and cartoons,No,Yes,No,Yes,"computer, interactive whiteboard, educational software",,moderately,Yes,Yes,Yes,Yes,Positive,Negative,Negative,Positive,Positive
Teacher,30,Male,Nagar Khas,Nagar,weekly,technology is best resources of learning it quick acess and provide in depth  knwoldge about lesson,students learns how to use tecnology and and its importance with the help of such facilities ,lack of awarness and training,Yes,No,it provide  us everything promptly,Yes,It has  many great lessons,No,Yes,It help to learn the things quickly. Students know how to use technology,No,No,Yes,No,"Computer Lab, Multimedia, and other Basic equipment.",in future students will totally depend on technology,moderately,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,25,Female,Nagar Khas,Nagar,rarely,yes get many things to learn,usings books in primary education,,Yes,No,,Yes,,Yes,No,,Yes,Yes,Yes,Yes,multimedia is most importanr benefit in a classroom ,according to my thought students are not adults,very,Yes,No,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Student,16,Male,Nagar Khas,Nagar,several times a week,technology allows to interactive learning through educational apps and other things,adaptive learning platform can lessons to the individuals need and peace of students,through the technology student waste their time play games and watch unwanted things,Yes,No,"use of technological tools cvan make learning more fun, helping to reinforce concepts",Yes,the technology reinforce concept of students and encourage students work together,Yes,Yes,,Yes,Yes,Yes,No,"laptops, multimedia, and wifi are benefit to learn",technology is very important and the usage of it to moniter learning child need additional support,very,Yes,Yes,No,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,40,Female,Nagar Khas,Nagar,rarely,technology can gives experiences and enhance ones knowledge,in this era its most important element ,,Yes,Yes,saveral ways technology has change,Yes,technology has changed our social skill partices,Yes,No,technology needs us to develop critical thinking,Yes,No,Yes,Yes,"projector, excel,are used",technology should used in primary education,very,Yes,Yes,No,Yes,Positive,Negative,Positive,Positive,Negative
Teacher,32,Female,Jafarabad,Nagar,several times a week,technology helps students and and give new ideas about learning,easy to learn,,Yes,Yes,,Yes,enhance learning capacity,Yes,Yes,boost the students hidden skills,Yes,Yes,Yes,Yes,LMS system can improve the learner,advanced learning can improve the overall learning of pupils,extremely,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Student,21,Female,Rural ,Nagar ,several times a week,"Technology fulfills all the leaning objectives of the students 

",Motivation for learning ,"WiFi, electricity, internet access and building 
",Yes,No,"With technology teachers can use multiple methods of teaching 
",Yes,"With usage of technology I have             
made lots of friends and relationships
",Yes,Yes,"The students can easily use the educating softwares for the nurishment of their skills 
",Yes,Yes,Yes,No,"WiFi, electricity and internet access 
","Teachers will have less opportunity for jobs in schools i guess 
",very,Yes,Yes,Yes,Yes,Positive,Positive,Positive,Positive,Negative
Teacher,28,Male,Rural ,Nagar ,weekly,"Students can easily understand from technology instead of teachings
","Skill development and awareness of technology 
",Socialization is disturbed ,Yes,No,"Yes I am totally depend on technology 
",Yes,"It has totally changed my social skills and effects on relationships 
",Yes,Yes,"Technology develops skills related to the students needs 
",Yes,Yes,Yes,No,"Computers and LED 
","Traditional teachings will be replaced by technology in Future this may be possible 
",moderately,Yes,No,Yes,Yes,Negative,Negative,Positive,Negative,Positive
Student,17,Female,Nagar Khas,Nagar,several times a week,technology support the learning objectives in primary education that can help student to develop digital literacy skills,it can enhaces engagement make learning more effective,overall waste of time,Yes,Yes,"technology change the curriculum and content, no need of teacher ",No,build the communication and thinking skills,Yes,Yes,,Yes,Yes,Yes,No,,computer lab and other technology is important for students,not at all,Yes,No,Yes,No,Positive,Negative,Positive,Positive,Positive
Teacher,32,Female,Jafarabad,Nagar,several times a week,technology helps students and and give new ideas about learning,easy to learn,,Yes,Yes,,Yes,enhance learning capacity,Yes,Yes,boost the students hidden skills,Yes,Yes,Yes,Yes,LMS system can improve the learner,advanced learning can improve the overall learning of pupils,extremely,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,35,Female,Aliabad,Hunza,several times a week,It captures the intrest of students which results in effective learning.,"It enhances listing, reading, writing and speaking skills.","Interaption of internet, irrelevant data for young children , writing skills will be ignore ",Yes,No,Technology change the way we learn about thing. Technology make our works easy. Technology the way we think .,Yes,The technology impact is very easy to work quick. Technology do faster from us.,Yes,No,As primary studets are not much eligible to takle with technology for crtical thinking etc.,No,Yes,Yes,No,"Chrom books, referance books.","AI, tablets and chrom book .",very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Negative
Student,17,Female,Jafarabad,Nagar,weekly,with the help of games and puzzles primary students can learn in a best way,help to learn things in modern way,internet facility is unavailable,Yes,No,provide online opportunities,Yes,it provide lot of content,No,Yes,,Yes,Yes,Yes,Yes,LEDs and projectors,,moderately,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,28,Female,Rural ,Nagar ,daily,"Learning objectives achieved by technological usage 
","Better improvement in students learning 
","Electricity and internet issues 
",No,No,Yes at wide range ,Yes,Positive and negative impacts both ,No,Yes,"providing suitable internet access 
",No,Yes,No,No,"Usage of technology and other resources for teachers development  of lectures 

","Technology should be used in primary section 
",slightly,Yes,Yes,No,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,31,Female,Karimabad,Hunza,weekly,,Lesson become more easier for students.,"Issue of power, lenhghty courses and content based examination system.",Yes,No,Technology have many change in our world e.g robots can work the human place.,Yes,Robots can alone on human place.it can ipact on our social skill.robots can perform individual task.,Yes,Yes,"Quizes avaible according to their lesson,activities design programm enhance critical thinking,creativity and problem solving.",Yes,Yes,Yes,Yes,"Learning management system ,google classroom.","As AI is replacing every profession  with passage of time,reducing theoritical and traditional approach enhance digital litracy like robotics at the primary level.",very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Student,21,Female,Rural ,Nagar ,several times a week,"Technology fulfills all the leaning objectives of the students 

",Motivation for learning ,"WiFi, electricity, internet access and building 
",Yes,No,"With technology teachers can use multiple methods of teaching 
",Yes,"With usage of technology I have             
made lots of friends and relationships
",Yes,Yes,"The students can easily use the educating softwares for the nurishment of their skills 
",Yes,Yes,Yes,No,"WiFi, electricity and internet access 
","Teachers will have less opportunity for jobs in schools i guess 
",very,Yes,Yes,Yes,Yes,Positive,Positive,Positive,Positive,Negative
